month,name,teamSize,url,notes
leden,Olympiáda v ČJ,1,,
leden,Zeměpisná olympiáda,1,https://www.zemepisnaolympiada.cz/,
únor,Súťaž v šifrovaní,,https://susi.trojsten.sk/,i v září
únor,Soutěž v programování,1,https://talentovani.cz/souteze/soutez-v-programovani,"2024: https://prog.barak.cz/, 2025: https://programuj.si/"
březen,Sendvič,1-5,https://www.hrasendvic.cz/,první sobota v březnu
duben,Náboj,4-5,https://math.naboj.org/cz/cs/,
červenec,Czech Open,,https://www.czechopen.net/,"velký festival šachů a dalších her (go, mankala, piškvorky, dáma, ...) v Pardubicích"
červenec,IMO,1,https://www.imo-official.org/,Mezinárodní matematická olympiáda
červenec,MEMO,,https://memo-official.org/MEMO/,
září,Hradecká sova,,https://hksova2.gipix.net/,
září,Súťaž v šifrovaní,,https://susi.trojsten.sk/,i v únoru
září,Logická olympiáda,1,https://logickaolympiada.cz/,
září,TMOU,1-5,https://www.tmou.cz/,
říjen,Šifrovačka,1-5,https://beneficni.sifrovacky.cz/,
říjen,Deskohraní,1,http://deskohrani.cz/,"piškvorky, Carcassonne, Osadníci, ...; pořádá Děsír"
listopad,Lingvistická olympiáda,1,https://www.lingol.cz/,
listopad,pIšQworky,1; 3; 5,https://pisqworky.cz/,
listopad,Best in English,1,https://bestinenglish.org/,
listopad,Matematická olympiáda P,1,https://mo.mff.cuni.cz/p/,
listopad,Matematická olympiáda,1,https://www.matematickaolympiada.cz/mo-pro-ss/,
listopad,Bobřík informatiky,1,https://www.ibobr.cz/,
listopad,Kasiopea,1,https://kasiopea.matfyz.cz/,
listopad,Tour de App,2-3,https://tourdeapp.cz/,
,,,,
neznámé,Ksí,1,https://ksi.fi.muni.cz/,
neznámé,Matematický klokan,1,http://www.matematickyklokan.net,
průběžně,PraSe,,https://prase.cz/commentary/aktualni.php,na webu jsou v průběhu roku úkoly
